student_id,class_id,date,status
ST0124,C2A,2026-06-01,absent
ST0125,C2A,2026-06-01,absent
ST0126,C2A,2026-06-01,present
ST0127,C2A,2026-06-01,absent
ST0128,C2A,2026-06-01,absent
ST0129,C2A,2026-06-01,absent
ST0130,C2A,2026-06-01,present
ST0131,C2A,2026-06-01,present
ST0132,C2A,2026-06-01,absent
ST0133,C2A,2026-06-01,present
ST0134,C2A,2026-06-01,absent
ST0135,C2A,2026-06-01,present
ST0136,C2A,2026-06-01,present
ST0137,C2A,2026-06-01,absent
ST0138,C2A,2026-06-01,present
ST0139,C2A,2026-06-01,absent
ST0140,C2A,2026-06-01,present
ST0141,C2A,2026-06-01,present
ST0142,C2A,2026-06-01,present
ST0143,C2A,2026-06-01,present
ST0144,C2A,2026-06-01,present
ST0145,C2A,2026-06-01,present
ST0146,C2A,2026-06-01,absent
ST0147,C2A,2026-06-01,present
ST0148,C2A,2026-06-01,absent
ST0149,C2A,2026-06-01,present
ST0150,C2A,2026-06-01,absent
ST0151,C2B,2026-06-01,absent
ST0152,C2B,2026-06-01,absent
ST0153,C2B,2026-06-01,present
ST0154,C2B,2026-06-01,present
ST0155,C2B,2026-06-01,absent
ST0156,C2B,2026-06-01,present
ST0157,C2B,2026-06-01,present
ST0158,C2B,2026-06-01,absent
ST0159,C2B,2026-06-01,absent
ST0160,C2B,2026-06-01,present
ST0161,C2B,2026-06-01,absent
ST0162,C2B,2026-06-01,absent
ST0163,C2B,2026-06-01,absent
ST0164,C2B,2026-06-01,absent
ST0165,C2B,2026-06-01,absent
ST0166,C2B,2026-06-01,present
ST0167,C2B,2026-06-01,absent
ST0168,C2B,2026-06-01,absent
ST0169,C2B,2026-06-01,present
ST0170,C2B,2026-06-01,absent
ST0171,C2B,2026-06-01,absent
ST0172,C2B,2026-06-01,present
ST0173,C2B,2026-06-01,absent
ST0174,C2B,2026-06-01,absent
ST0175,C2B,2026-06-01,present
ST0176,C2B,2026-06-01,absent
ST0177,C2B,2026-06-01,absent
ST0178,C2B,2026-06-01,present
ST0179,C2B,2026-06-01,absent
ST0180,C2B,2026-06-01,present
ST0181,C2B,2026-06-01,present
ST0182,C2B,2026-06-01,absent
ST0183,C2B,2026-06-01,absent
ST0184,C2B,2026-06-01,present
ST0185,C2B,2026-06-01,present
ST0186,C2B,2026-06-01,present
ST0187,C2B,2026-06-01,present
ST0188,C2B,2026-06-01,present
ST0189,C2B,2026-06-01,present
ST0190,C2B,2026-06-01,absent
ST0191,C2B,2026-06-01,present
ST0192,C2B,2026-06-01,absent
ST0193,C2B,2026-06-01,present
ST0194,C2B,2026-06-01,absent
ST0195,C2B,2026-06-01,present
ST0196,C2B,2026-06-01,absent
ST0197,C2B,2026-06-01,present
ST0198,C2B,2026-06-01,present
ST0199,C2B,2026-06-01,absent
ST0200,C2B,2026-06-01,present
ST0201,C3A,2026-06-01,absent
ST0202,C3A,2026-06-01,absent
ST0203,C3A,2026-06-01,present
ST0204,C3A,2026-06-01,absent
ST0205,C3A,2026-06-01,present
ST0206,C3A,2026-06-01,present
ST0207,C3A,2026-06-01,absent
ST0208,C3A,2026-06-01,present
ST0209,C3A,2026-06-01,present
ST0210,C3A,2026-06-01,absent
ST0211,C3A,2026-06-01,present
ST0212,C3A,2026-06-01,absent
ST0213,C3A,2026-06-01,present
ST0214,C3A,2026-06-01,absent
ST0215,C3A,2026-06-01,absent
ST0216,C3A,2026-06-01,absent
ST0217,C3A,2026-06-01,present
ST0218,C3A,2026-06-01,absent
ST0219,C3A,2026-06-01,absent
ST0220,C3A,2026-06-01,present
ST0221,C3A,2026-06-01,absent
ST0222,C3A,2026-06-01,absent
ST0223,C3A,2026-06-01,absent
ST0224,C3A,2026-06-01,present
ST0225,C3A,2026-06-01,absent
ST0226,C3A,2026-06-01,present
ST0227,C3A,2026-06-01,present
ST0228,C3A,2026-06-01,absent
ST0229,C3A,2026-06-01,present
ST0230,C3A,2026-06-01,absent
ST0231,C3A,2026-06-01,present
ST0232,C3A,2026-06-01,absent
ST0233,C3A,2026-06-01,absent
ST0234,C3A,2026-06-01,absent
ST0235,C3A,2026-06-01,absent
ST0236,C3A,2026-06-01,absent
ST0237,C3A,2026-06-01,absent
ST0238,C3A,2026-06-01,absent
ST0239,C3A,2026-06-01,absent
ST0240,C3A,2026-06-01,absent
ST0241,C3A,2026-06-01,present
ST0242,C3A,2026-06-01,absent
ST0243,C3A,2026-06-01,absent
ST0244,C3A,2026-06-01,absent
ST0245,C3A,2026-06-01,present
ST0246,C3A,2026-06-01,present
ST0247,C3A,2026-06-01,present
ST0248,C3A,2026-06-01,present
ST0249,C3A,2026-06-01,present
ST0250,C3A,2026-06-01,present
ST0251,C3B,2026-06-01,present
ST0252,C3B,2026-06-01,present
ST0253,C3B,2026-06-01,absent
ST0254,C3B,2026-06-01,present
ST0255,C3B,2026-06-01,absent
ST0256,C3B,2026-06-01,absent
ST0257,C3B,2026-06-01,absent
ST0258,C3B,2026-06-01,present
ST0259,C3B,2026-06-01,absent
ST0260,C3B,2026-06-01,present
ST0261,C3B,2026-06-01,absent
ST0262,C3B,2026-06-01,present
ST0263,C3B,2026-06-01,absent
ST0264,C3B,2026-06-01,absent
ST0265,C3B,2026-06-01,present
ST0266,C3B,2026-06-01,present
ST0267,C3B,2026-06-01,absent
ST0268,C3B,2026-06-01,absent
ST0269,C3B,2026-06-01,present
ST0270,C3B,2026-06-01,absent
ST0271,C3B,2026-06-01,present
ST0272,C3B,2026-06-01,present
ST0273,C3B,2026-06-01,absent
ST0274,C3B,2026-06-01,absent
ST0275,C3B,2026-06-01,absent
ST0276,C3B,2026-06-01,absent
ST0277,C3B,2026-06-01,present
ST0278,C3B,2026-06-01,absent
ST0279,C3B,2026-06-01,absent
ST0280,C3B,2026-06-01,absent
ST0281,C3B,2026-06-01,present
ST0282,C3B,2026-06-01,present
ST0283,C3B,2026-06-01,absent
ST0284,C3B,2026-06-01,present
ST0285,C3B,2026-06-01,absent
ST0286,C3B,2026-06-01,present
ST0287,C3B,2026-06-01,absent
ST0288,C3B,2026-06-01,present
ST0289,C3B,2026-06-01,present
ST0290,C3B,2026-06-01,absent
ST0291,C3B,2026-06-01,absent
ST0292,C3B,2026-06-01,present
ST0293,C3B,2026-06-01,present
ST0294,C3B,2026-06-01,absent
ST0295,C3B,2026-06-01,absent
ST0296,C3B,2026-06-01,present
ST0297,C3B,2026-06-01,present
ST0298,C3B,2026-06-01,absent
ST0299,C3B,2026-06-01,present
ST0300,C3B,2026-06-01,present
ST0301,C4A,2026-06-01,present
ST0302,C4A,2026-06-01,present
ST0303,C4A,2026-06-01,present
ST0304,C4A,2026-06-01,absent
ST0305,C4A,2026-06-01,absent
ST0306,C4A,2026-06-01,absent
ST0307,C4A,2026-06-01,absent
ST0308,C4A,2026-06-01,absent
ST0309,C4A,2026-06-01,absent
ST0310,C4A,2026-06-01,present
ST0311,C4A,2026-06-01,absent
ST0312,C4A,2026-06-01,absent
ST0313,C4A,2026-06-01,absent
ST0314,C4A,2026-06-01,present
ST0315,C4A,2026-06-01,present
ST0316,C4A,2026-06-01,present
ST0317,C4A,2026-06-01,present
ST0318,C4A,2026-06-01,absent
ST0319,C4A,2026-06-01,present
ST0320,C4A,2026-06-01,present
ST0321,C4A,2026-06-01,absent
ST0322,C4A,2026-06-01,absent
ST0323,C4A,2026-06-01,absent
ST0324,C4A,2026-06-01,present
ST0325,C4A,2026-06-01,present
ST0326,C4A,2026-06-01,absent
ST0327,C4A,2026-06-01,present
ST0328,C4A,2026-06-01,present
ST0329,C4A,2026-06-01,absent
ST0330,C4A,2026-06-01,absent
ST0331,C4A,2026-06-01,present
ST0332,C4A,2026-06-01,present
ST0333,C4A,2026-06-01,absent
ST0334,C4A,2026-06-01,absent
ST0335,C4A,2026-06-01,present
ST0336,C4A,2026-06-01,absent
ST0337,C4A,2026-06-01,absent
ST0338,C4A,2026-06-01,absent
ST0339,C4A,2026-06-01,absent
ST0340,C4A,2026-06-01,present
ST0341,C4A,2026-06-01,present
ST0342,C4A,2026-06-01,absent
ST0343,C4A,2026-06-01,absent
ST0344,C4A,2026-06-01,absent
ST0345,C4A,2026-06-01,present
ST0346,C4A,2026-06-01,present
ST0347,C4A,2026-06-01,present
ST0348,C4A,2026-06-01,present
ST0349,C4A,2026-06-01,present
ST0350,C4A,2026-06-01,present
ST0351,C4B,2026-06-01,absent
ST0352,C4B,2026-06-01,absent
ST0353,C4B,2026-06-01,present
ST0354,C4B,2026-06-01,present
ST0355,C4B,2026-06-01,absent
ST0356,C4B,2026-06-01,present
ST0357,C4B,2026-06-01,absent
ST0358,C4B,2026-06-01,absent
ST0359,C4B,2026-06-01,present
ST0360,C4B,2026-06-01,present
ST0361,C4B,2026-06-01,present
ST0362,C4B,2026-06-01,present
ST0363,C4B,2026-06-01,absent
ST0364,C4B,2026-06-01,absent
ST0365,C4B,2026-06-01,present
ST0366,C4B,2026-06-01,absent
ST0367,C4B,2026-06-01,absent
ST0368,C4B,2026-06-01,present
ST0369,C4B,2026-06-01,present
ST0370,C4B,2026-06-01,absent
ST0371,C4B,2026-06-01,absent
ST0372,C4B,2026-06-01,absent
ST0373,C4B,2026-06-01,present
ST0374,C4B,2026-06-01,absent
ST0375,C4B,2026-06-01,present
ST0376,C4B,2026-06-01,absent
ST0377,C4B,2026-06-01,absent
ST0378,C4B,2026-06-01,absent
ST0379,C4B,2026-06-01,present
ST0380,C4B,2026-06-01,absent
ST0381,C4B,2026-06-01,present
ST0382,C4B,2026-06-01,present
ST0383,C4B,2026-06-01,absent
ST0384,C4B,2026-06-01,absent
ST0385,C4B,2026-06-01,present
ST0386,C4B,2026-06-01,absent
ST0387,C4B,2026-06-01,absent
ST0388,C4B,2026-06-01,absent
ST0389,C4B,2026-06-01,present
ST0390,C4B,2026-06-01,present
ST0391,C4B,2026-06-01,absent
ST0392,C4B,2026-06-01,absent
ST0393,C4B,2026-06-01,absent
ST0394,C4B,2026-06-01,present
ST0395,C4B,2026-06-01,absent
ST0396,C4B,2026-06-01,present
ST0397,C4B,2026-06-01,present
ST0398,C4B,2026-06-01,present
ST0399,C4B,2026-06-01,absent
ST0400,C4B,2026-06-01,present
ST0401,C5A,2026-06-01,present
ST0402,C5A,2026-06-01,present
ST0403,C5A,2026-06-01,present
ST0404,C5A,2026-06-01,present
ST0405,C5A,2026-06-01,absent
ST0406,C5A,2026-06-01,absent
ST0407,C5A,2026-06-01,absent
ST0408,C5A,2026-06-01,absent
ST0409,C5A,2026-06-01,absent
ST0410,C5A,2026-06-01,present
ST0411,C5A,2026-06-01,absent
ST0412,C5A,2026-06-01,absent
ST0413,C5A,2026-06-01,absent
ST0414,C5A,2026-06-01,absent
ST0415,C5A,2026-06-01,absent
ST0416,C5A,2026-06-01,absent
ST0417,C5A,2026-06-01,present
ST0418,C5A,2026-06-01,absent
ST0419,C5A,2026-06-01,absent
ST0420,C5A,2026-06-01,present
ST0421,C5A,2026-06-01,absent
ST0422,C5A,2026-06-01,present
ST0423,C5A,2026-06-01,present
ST0424,C5A,2026-06-01,present
ST0425,C5A,2026-06-01,present
ST0426,C5A,2026-06-01,present
ST0427,C5A,2026-06-01,present
ST0428,C5A,2026-06-01,present
ST0429,C5A,2026-06-01,absent
ST0430,C5A,2026-06-01,absent
ST0431,C5A,2026-06-01,absent
ST0432,C5A,2026-06-01,absent
ST0433,C5A,2026-06-01,present
ST0434,C5A,2026-06-01,absent
ST0435,C5A,2026-06-01,absent
ST0436,C5A,2026-06-01,absent
ST0437,C5A,2026-06-01,present
ST0438,C5A,2026-06-01,absent
ST0439,C5A,2026-06-01,present
ST0440,C5A,2026-06-01,absent
ST0441,C5A,2026-06-01,absent
ST0442,C5A,2026-06-01,present
ST0443,C5A,2026-06-01,absent
ST0444,C5A,2026-06-01,present
ST0445,C5A,2026-06-01,absent
ST0446,C5A,2026-06-01,absent
ST0447,C5A,2026-06-01,present
ST0448,C5A,2026-06-01,present
ST0449,C5A,2026-06-01,absent
ST0450,C5A,2026-06-01,present
ST0451,C5B,2026-06-01,absent
ST0452,C5B,2026-06-01,absent
ST0453,C5B,2026-06-01,absent
ST0454,C5B,2026-06-01,present
ST0455,C5B,2026-06-01,absent
ST0456,C5B,2026-06-01,absent
ST0457,C5B,2026-06-01,present
ST0458,C5B,2026-06-01,present
ST0459,C5B,2026-06-01,absent
ST0460,C5B,2026-06-01,absent
ST0461,C5B,2026-06-01,absent
ST0462,C5B,2026-06-01,absent
ST0463,C5B,2026-06-01,present
ST0464,C5B,2026-06-01,present
ST0465,C5B,2026-06-01,present
ST0466,C5B,2026-06-01,absent
ST0467,C5B,2026-06-01,absent
ST0468,C5B,2026-06-01,present
ST0469,C5B,2026-06-01,present
ST0470,C5B,2026-06-01,present
ST0471,C5B,2026-06-01,absent
ST0472,C5B,2026-06-01,absent
ST0473,C5B,2026-06-01,absent
ST0474,C5B,2026-06-01,absent
ST0475,C5B,2026-06-01,present
ST0476,C5B,2026-06-01,present
ST0477,C5B,2026-06-01,absent
ST0478,C5B,2026-06-01,present
ST0479,C5B,2026-06-01,present
ST0480,C5B,2026-06-01,absent
ST0481,C5B,2026-06-01,absent
ST0482,C5B,2026-06-01,present
ST0483,C5B,2026-06-01,absent
ST0484,C5B,2026-06-01,absent
ST0485,C5B,2026-06-01,present
ST0486,C5B,2026-06-01,absent
ST0487,C5B,2026-06-01,absent
ST0488,C5B,2026-06-01,absent
ST0489,C5B,2026-06-01,absent
ST0490,C5B,2026-06-01,present
ST0491,C5B,2026-06-01,absent
ST0492,C5B,2026-06-01,present
ST0493,C5B,2026-06-01,absent
ST0494,C5B,2026-06-01,present
ST0495,C5B,2026-06-01,present
ST0496,C5B,2026-06-01,present
ST0497,C5B,2026-06-01,present
ST0498,C5B,2026-06-01,absent
ST0499,C5B,2026-06-01,present
ST0500,C5B,2026-06-01,absent
ST0501,C6A,2026-06-01,absent
ST0502,C6A,2026-06-01,absent
ST0503,C6A,2026-06-01,absent
ST0504,C6A,2026-06-01,present
ST0505,C6A,2026-06-01,present
ST0506,C6A,2026-06-01,present
ST0507,C6A,2026-06-01,absent
ST0508,C6A,2026-06-01,absent
ST0509,C6A,2026-06-01,present
ST0510,C6A,2026-06-01,present
ST0511,C6A,2026-06-01,absent
ST0512,C6A,2026-06-01,absent
ST0513,C6A,2026-06-01,present
ST0514,C6A,2026-06-01,present
ST0515,C6A,2026-06-01,present
ST0516,C6A,2026-06-01,absent
ST0517,C6A,2026-06-01,absent
ST0518,C6A,2026-06-01,absent
ST0519,C6A,2026-06-01,present
ST0520,C6A,2026-06-01,absent
ST0521,C6A,2026-06-01,present
ST0522,C6A,2026-06-01,present
ST0523,C6A,2026-06-01,absent
ST0524,C6A,2026-06-01,absent
ST0525,C6A,2026-06-01,present
ST0526,C6A,2026-06-01,present
ST0527,C6A,2026-06-01,present
ST0528,C6A,2026-06-01,absent
ST0529,C6A,2026-06-01,present
ST0530,C6A,2026-06-01,present
ST0531,C6A,2026-06-01,present
ST0532,C6A,2026-06-01,absent
ST0533,C6A,2026-06-01,absent
ST0534,C6A,2026-06-01,absent
ST0535,C6A,2026-06-01,absent
ST0536,C6A,2026-06-01,absent
ST0537,C6A,2026-06-01,absent
ST0538,C6A,2026-06-01,absent
ST0539,C6A,2026-06-01,absent
ST0540,C6A,2026-06-01,present
ST0541,C6A,2026-06-01,absent
ST0542,C6A,2026-06-01,present
ST0543,C6A,2026-06-01,present
ST0544,C6A,2026-06-01,absent
ST0545,C6A,2026-06-01,present
ST0546,C6A,2026-06-01,present
ST0547,C6A,2026-06-01,present
ST0548,C6A,2026-06-01,absent
ST0549,C6A,2026-06-01,present
ST0550,C6A,2026-06-01,present
ST0551,C6B,2026-06-01,present
ST0552,C6B,2026-06-01,present
ST0553,C6B,2026-06-01,absent
ST0554,C6B,2026-06-01,absent
ST0555,C6B,2026-06-01,present
ST0556,C6B,2026-06-01,present
ST0557,C6B,2026-06-01,absent
ST0558,C6B,2026-06-01,absent
ST0559,C6B,2026-06-01,absent
ST0560,C6B,2026-06-01,present
ST0561,C6B,2026-06-01,present
ST0562,C6B,2026-06-01,present
ST0563,C6B,2026-06-01,present
ST0564,C6B,2026-06-01,absent
ST0565,C6B,2026-06-01,present
ST0566,C6B,2026-06-01,absent
ST0567,C6B,2026-06-01,absent
ST0568,C6B,2026-06-01,absent
ST0569,C6B,2026-06-01,present
ST0570,C6B,2026-06-01,present
ST0571,C6B,2026-06-01,present
ST0572,C6B,2026-06-01,absent
ST0573,C6B,2026-06-01,absent
ST0574,C6B,2026-06-01,present
ST0575,C6B,2026-06-01,absent
ST0576,C6B,2026-06-01,absent
ST0577,C6B,2026-06-01,present
ST0578,C6B,2026-06-01,absent
ST0579,C6B,2026-06-01,absent
ST0580,C6B,2026-06-01,present
ST0581,C6B,2026-06-01,present
ST0582,C6B,2026-06-01,present
ST0583,C6B,2026-06-01,present
ST0584,C6B,2026-06-01,present
ST0585,C6B,2026-06-01,absent
ST0586,C6B,2026-06-01,absent
ST0587,C6B,2026-06-01,absent
ST0588,C6B,2026-06-01,absent
ST0589,C6B,2026-06-01,absent
ST0590,C6B,2026-06-01,present
ST0591,C6B,2026-06-01,present
ST0592,C6B,2026-06-01,absent
ST0593,C6B,2026-06-01,absent
ST0594,C6B,2026-06-01,present
ST0595,C6B,2026-06-01,absent
ST0596,C6B,2026-06-01,absent
ST0597,C6B,2026-06-01,absent
ST0598,C6B,2026-06-01,absent
ST0599,C6B,2026-06-01,absent
ST0600,C6B,2026-06-01,present
ST0601,C7A,2026-06-01,absent
ST0602,C7A,2026-06-01,present
ST0603,C7A,2026-06-01,absent
ST0604,C7A,2026-06-01,present
ST0605,C7A,2026-06-01,present
ST0606,C7A,2026-06-01,absent
ST0607,C7A,2026-06-01,present
ST0608,C7A,2026-06-01,absent
ST0609,C7A,2026-06-01,present
ST0610,C7A,2026-06-01,absent
ST0611,C7A,2026-06-01,present
ST0612,C7A,2026-06-01,absent
ST0613,C7A,2026-06-01,present
ST0614,C7A,2026-06-01,absent
ST0615,C7A,2026-06-01,present
ST0616,C7A,2026-06-01,present
ST0617,C7A,2026-06-01,present
ST0618,C7A,2026-06-01,absent
ST0619,C7A,2026-06-01,present
ST0620,C7A,2026-06-01,absent
ST0621,C7A,2026-06-01,absent
ST0622,C7A,2026-06-01,absent
ST0623,C7A,2026-06-01,absent
ST0624,C7A,2026-06-01,absent
ST0625,C7A,2026-06-01,present
ST0626,C7A,2026-06-01,absent
ST0627,C7A,2026-06-01,absent
ST0628,C7A,2026-06-01,absent
ST0629,C7A,2026-06-01,present
ST0630,C7A,2026-06-01,absent
ST0631,C7A,2026-06-01,present
ST0632,C7A,2026-06-01,absent
ST0633,C7A,2026-06-01,absent
ST0634,C7A,2026-06-01,present
ST0635,C7A,2026-06-01,absent
ST0636,C7A,2026-06-01,absent
ST0637,C7A,2026-06-01,present
ST0638,C7A,2026-06-01,present
ST0639,C7A,2026-06-01,absent
ST0640,C7A,2026-06-01,absent
ST0641,C7A,2026-06-01,absent
ST0642,C7A,2026-06-01,present
ST0643,C7A,2026-06-01,absent
ST0644,C7A,2026-06-01,present
ST0645,C7A,2026-06-01,absent
ST0646,C7A,2026-06-01,present
ST0647,C7A,2026-06-01,present
ST0648,C7A,2026-06-01,present
ST0649,C7A,2026-06-01,absent
ST0650,C7A,2026-06-01,present
ST0651,C7B,2026-06-01,absent
ST0652,C7B,2026-06-01,present
ST0653,C7B,2026-06-01,present
ST0654,C7B,2026-06-01,present
ST0655,C7B,2026-06-01,absent
ST0656,C7B,2026-06-01,absent
ST0657,C7B,2026-06-01,absent
ST0658,C7B,2026-06-01,absent
ST0659,C7B,2026-06-01,absent
ST0660,C7B,2026-06-01,present
ST0661,C7B,2026-06-01,absent
ST0662,C7B,2026-06-01,present
ST0663,C7B,2026-06-01,absent
ST0664,C7B,2026-06-01,present
ST0665,C7B,2026-06-01,absent
ST0666,C7B,2026-06-01,present
ST0667,C7B,2026-06-01,present
ST0668,C7B,2026-06-01,present
ST0669,C7B,2026-06-01,absent
ST0670,C7B,2026-06-01,present
ST0671,C7B,2026-06-01,present
ST0672,C7B,2026-06-01,absent
ST0673,C7B,2026-06-01,present
ST0674,C7B,2026-06-01,absent
ST0675,C7B,2026-06-01,present
ST0676,C7B,2026-06-01,present
ST0677,C7B,2026-06-01,absent
ST0678,C7B,2026-06-01,absent
ST0679,C7B,2026-06-01,absent
ST0680,C7B,2026-06-01,present
ST0681,C7B,2026-06-01,absent
ST0682,C7B,2026-06-01,absent
ST0683,C7B,2026-06-01,absent
ST0684,C7B,2026-06-01,absent
ST0685,C7B,2026-06-01,absent
ST0686,C7B,2026-06-01,absent
ST0687,C7B,2026-06-01,present
ST0688,C7B,2026-06-01,present
ST0689,C7B,2026-06-01,absent
ST0690,C7B,2026-06-01,absent
ST0691,C7B,2026-06-01,present
ST0692,C7B,2026-06-01,present
ST0693,C7B,2026-06-01,present
ST0694,C7B,2026-06-01,present
ST0695,C7B,2026-06-01,absent
ST0696,C7B,2026-06-01,absent
ST0697,C7B,2026-06-01,absent
ST0698,C7B,2026-06-01,present
ST0699,C7B,2026-06-01,absent
ST0700,C7B,2026-06-01,present
ST0701,C8A,2026-06-01,absent
ST0702,C8A,2026-06-01,absent
ST0703,C8A,2026-06-01,absent
ST0704,C8A,2026-06-01,absent
ST0705,C8A,2026-06-01,present
ST0706,C8A,2026-06-01,present
ST0707,C8A,2026-06-01,present
ST0708,C8A,2026-06-01,present
ST0709,C8A,2026-06-01,absent
ST0710,C8A,2026-06-01,absent
ST0711,C8A,2026-06-01,present
ST0712,C8A,2026-06-01,absent
ST0713,C8A,2026-06-01,present
ST0714,C8A,2026-06-01,present
ST0715,C8A,2026-06-01,absent
ST0716,C8A,2026-06-01,absent
ST0717,C8A,2026-06-01,present
ST0718,C8A,2026-06-01,absent
ST0719,C8A,2026-06-01,present
ST0720,C8A,2026-06-01,absent
ST0721,C8A,2026-06-01,absent
ST0722,C8A,2026-06-01,present
ST0723,C8A,2026-06-01,present
ST0724,C8A,2026-06-01,present
ST0725,C8A,2026-06-01,absent
ST0726,C8A,2026-06-01,present
ST0727,C8A,2026-06-01,absent
ST0728,C8A,2026-06-01,present
ST0729,C8A,2026-06-01,present
ST0730,C8A,2026-06-01,present
ST0731,C8A,2026-06-01,absent
ST0732,C8A,2026-06-01,present
ST0733,C8A,2026-06-01,absent
ST0734,C8A,2026-06-01,absent
ST0735,C8A,2026-06-01,absent
ST0736,C8A,2026-06-01,absent
ST0737,C8A,2026-06-01,present
ST0738,C8A,2026-06-01,absent
ST0739,C8A,2026-06-01,present
ST0740,C8A,2026-06-01,present
ST0741,C8A,2026-06-01,present
ST0742,C8A,2026-06-01,absent
ST0743,C8A,2026-06-01,absent
ST0744,C8A,2026-06-01,absent
ST0745,C8A,2026-06-01,present
ST0746,C8A,2026-06-01,present
ST0747,C8A,2026-06-01,absent
ST0748,C8A,2026-06-01,absent
ST0749,C8A,2026-06-01,present
ST0750,C8A,2026-06-01,present
ST0751,C8B,2026-06-01,present
ST0752,C8B,2026-06-01,present
ST0753,C8B,2026-06-01,present
ST0754,C8B,2026-06-01,absent
ST0755,C8B,2026-06-01,present
